postcode,distance_to_leiden,statusscore14,rangorde14
1782,88.6637287454071,"-,078003960201404",2510
1783,87.838631821375,"-1,01216362185442",3161
1784,87.6241099621279,"-1,14967101929735",3212
1785,87.7192626998143,"-,510724581248667",2894
1786,82.0607927707936,NA,NA
1787,81.9925052970765,"1,66731739165303",243
1788,81.6429152571068,"1,11364509184411",687
1789,88.1509902513584,"-3,01601560176975",3510
1790,99.8205652031036,NA,NA
1791,99.8205652031036,"-,604812607661981",2948
1792,98.7790326585308,",628727624268958",1380
1793,101.928995259166,",485433844027922",1639
1794,104.196645254591,"-,710063410368314",3016
1795,111.672271402775,",114041696487074",2255
1796,104.228002301872,"-,175194510137335",2611
1797,96.0397660555409,",365610229793867",1875
1800,53.2319171004682,NA,NA
1801,53.2319171004682,NA,NA
1802,53.2319171004682,NA,NA
1810,53.2319171004682,NA,NA
1811,53.5647824073534,"1,50623321209023",334
1812,51.7551040398443,",688393303531903",1282
1813,53.2319171004682,"-1,34151949665235",3277
1814,53.3359264088578,"-,690480606542012",3003
1815,54.3605533843717,"1,5366613443378",312
1816,54.1258578461637,",00070971336103781",2409
1817,55.0338367460156,"1,71526381980757",217
1821,53.8563090266225,",00954899513926464",2401
1822,55.365754561851,"1,74342295992247",203
1823,54.1473251787664,"-,421164247991135",2830
1824,55.2726804095757,",0702758233703947",2323
1825,55.5967041073401,",0109481086006215",2398
1826,55.9595041885389,",913891511937917",941
1827,58.0308532590298,",21775227049663",2103
1829,54.4073661030112,"-,00936640475444513",2423
1830,59.5200557571904,NA,NA
1831,58.4501267814802,",0382968989301341",2356
1832,59.5200557571904,NA,NA
1834,58.2724397032,"1,14835625023825",652
1840,53.827190969055,NA,NA
1841,53.9744659618519,",952872081451294",892
1842,56.6251155821785,",144722281811208",2211
1843,52.6014773710309,"1,38876998014858",419
1844,50.8322776548433,NA,NA
1846,47.5641064297766,"1,32776843856666",473
1847,50.5313895721764,NA,NA
1850,52.0931245651006,NA,NA
1851,52.0931245651006,"1,4263420047722",393
1852,50.6934897252799,",926044143513423",923
1853,49.0212753786265,NA,NA
1860,21.2382794611795,NA,NA
1861,56.2778108715603,"1,2277334924273",575
1862,58.4135766913747,",240570055009851",2066
1865,55.5252712974832,",969958666836103",870
1870,62.2607216857871,NA,NA
1871,58.9476562755387,",651197127847575",1346
1873,61.9942155786417,",812095533317824",1106
1900,43.1674456932897,NA,NA
1901,43.1674456932897,"1,09808398736708",709
1902,43.3618936617749,"1,29654459853588",493
1906,44.9124348748887,"1,03336139007024",787
1910,41.5573115713604,NA,NA
1911,41.5573115713604,"1,25268128739567",545
1920,46.1495250594751,NA,NA
1921,46.1495250594751,",782440306057247",1154
1930,50.2523350527624,NA,NA
1931,50.2523350527624,",285518957738644",2002
1934,50.9251046824952,"1,00465270825376",834
1935,47.5937093733524,",713341314135908",1241
1940,229.303286593784,NA,NA
1941,36.2405010859271,",209327669219652",2115
1942,36.286825040104,"1,65067120289826",252
1943,36.4517728257916,",626128524131808",1388
1944,37.28093364629,",0772105878321608",2314
1945,37.9832166297577,"-,184099957113412",2621
1946,37.6082331203565,"-,806410833990894",3066
1947,36.7779320258102,"-,0753792112800312",2508
1948,37.3617795949695,"1,89788711717934",150
1949,36.5467552252607,"1,06586290401812",748
1950,35.4948076544032,NA,NA
1951,35.4948076544032,"-,395978488818323",2808
1954,67.068328580032,NA,NA
1960,40.3242936832759,NA,NA
1961,39.5908212488085,",296613996867101",1979
1962,40.3242936832759,"-,651280495365095",2977
1963,40.8351252565128,",85327274722143",1045
1964,38.7794124379305,",33284524636896",1921
1965,38.1295551712721,"1,64847516622301",253
1966,38.7123475416188,"-,608232741017662",2949
1967,38.1571866514171,"1,837837661266",170
1968,40.5444494212844,"1,64511664825526",256
1969,37.6031484412021,"1,36618426099773",434
1970,33.7882889279574,NA,NA
1971,33.7882889279574,",570924084074455",1493
1972,33.5626559376205,"-,389257324330953",2807
1973,33.2028254368677,"-,34278292967373",2766
1974,32.2434272371765,"-,762564679769226",3043
1975,33.5728198929893,"-,896914915131511",3101
1976,32.3219548540481,"1,81238012857492",177
1980,34.1347469643924,NA,NA
1981,34.1347469643924,",225091324684164",2093
1985,32.7007682542642,"1,49634963374927",338
1990,32.3696307826193,NA,NA
1991,32.3696307826193,"1,18900353264827",606
1992,31.3579006346267,"1,3235252620705",478
2000,25.852293808386,NA,NA
2001,25.852293808386,NA,NA
2002,25.852293808386,NA,NA
2003,25.852293808386,NA,NA
2011,25.852293808386,"1,86075119415312",161
2012,25.2196477250397,"1,52373629689597",318
2013,25.8460914545918,"1,67131919931246",240
2014,25.0259164822215,"1,33103769743201",469
2015,25.5051650797071,"1,61603962526556",271
2019,25.7487811542821,NA,NA
2021,27.0116614440343,"1,40385846313308",406
2022,27.2931401543889,",802075930346859",1124
2023,26.4416928869374,"1,89617386421717",151
